,root,truth_val,question_num,ans_start_time,ans_end_time,Word_in_dict,Word_not_in_dict,Function words,Total pronouns,Personal pronouns,I,We,You,SheHe,They,Impersonal pronouns,Articles,Common Verbs,Auxiliary verbs,Past tense,Present tense,Future tense,Adverbs,Prepositions,Conjunctions,Negations,Quantifiers,Numbers,Swear,Social,Family,Friends,Humans,Affective,Positive emotion,Negative Emotion,Anxiety,Anger,Sadness,Cognitive,Insight,Causation,Discrepancy,Tentativeness,Certainty,Inhibition,Inclusion,Exclusion,Perceptual,Seeing,Hearing,Feeling,Biological,Body,Health,Sexual,Ingestion,Relativity,Motion,Space,Time,Work,Achievement,Leisure,Home,Money,Religion,death@Death,Assent,Non-fluencies,Fillers
0,2018-02-25_16-35-14-962,1,0,384.0,396.0,20.0,3.0,16.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2018-02-25_16-35-14-962,1,1,402.0,436.0,110.0,20.0,76.0,19.0,12.0,2.0,0.0,2.0,8.0,0.0,7.0,17.0,14.0,8.0,6.0,8.0,0.0,8.0,15.0,12.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,24.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,22.0,7.0,0.0,0.0,3.0,6.0,10.0,6.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,13.0,0.0,13.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0
2,2018-02-25_16-35-14-962,1,2,446.0,456.0,22.0,7.0,17.0,5.0,4.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,5.0,4.0,0.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018-02-25_16-35-14-962,1,3,462.0,481.0,23.0,12.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,2.0,1.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
4,2018-02-25_16-35-14-962,1,4,488.0,524.9999999999999,78.0,23.0,57.0,12.0,5.0,1.0,0.0,1.0,1.0,2.0,7.0,11.0,15.0,12.0,9.0,6.0,0.0,5.0,9.0,7.0,2.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,6.0,10.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,8.0,2.0,1.0,0.0,4.0,5.0,6.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
5,2018-02-25_16-35-14-962,1,5,532.0,561.0000000000001,71.0,15.0,56.0,10.0,4.0,0.0,1.0,1.0,2.0,0.0,6.0,11.0,13.0,10.0,7.0,3.0,0.0,4.0,13.0,5.0,2.0,3.0,2.0,0.0,6.0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
6,2018-02-25_16-35-14-962,1,6,567.0,582.0,34.0,6.0,22.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,4.0,4.0,5.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,6.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
7,2018-02-25_16-35-14-962,1,7,588.0,601.0,28.0,7.0,19.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,5.0,3.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
8,2018-02-25_16-35-14-962,1,8,610.0,621.0000000000001,25.0,4.0,16.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,8.0,4.0,3.0,4.0,1.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
9,2018-02-25_16-35-14-962,1,9,627.0,627.9999999999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
